id|name|country_code|imdb_id|name_pcode_nf|name_pcode_sf|md5sum
34634|Comfilm.de|[de]||C5145|C5145|103fec65d8a8129bfea07e4a98dfa0e5
63635|Dusty Nose Productions|[us]||D2352|D2352|7a9718e93925d720de807fe027665fbe
35051|WTTW National Productions|[us]||W3535|W3535|002eb2b89338ca14386743e11e7a425f
23380|Film House|[us]||F452|F452|20c818c9a457fa6e902ff4b0d406525e
31373|AVI Group|[us]||A1261|A1261|d90465c48c1e51f556562ad903aacdfa
6024|GodZone Ministry|[us]||G3252|G3252|fcb66476f8f75f6cc075e3a362167a01
33177|Elvira Merchandizing|[us]||E4165|E4165|3c2c30e6bf6589748445621378c6eb67
66924|G.P. Films|[gb]||G1452|G1452|c538eda8ca2e7eeacd4350df5e80372b
61979|Sax Editore|[it]||S236|S2363|6afc5715399d8a111c596732f4743ea9
9189|Visual Edge Entertainment|[us]||V2432|V2432|95249ba76b6cdaa7fb710ce20ed09436
8495|AXN White|[es]||A253|A2532|a9f8cf126bab47938f41facbaea8d74d
27332|Black Widow Media|[us]||B4235|B4235|76b77c9ffe6d1884e44fa692eaa5dece
23574|Pier Six Productions|[us]||P6216|P6216|79399675ad84c4fdd7f250eb67f49544
68847|PR Productions|[fi]||P6163|P6163|9ac1d06c825a7ca26b7b6c15bf2df9df
34224|The Mummy Strikes|[us]||T5236|T5236|d3b6cfc15976a9c4baebbb7b1db16bd8
56896|Little Wonder Productions|[gb]||L3453|L3453|ea681428ec203208b98a9709500ad04b
45375|Buena Vista International Film Production France|[fr]||B5123|B5123|3d877610178dde125da5afd28f2439a5
56215|Estonian Film Foundation|[ee]||E2351|E2351|69ac55342ead3ea6bb0bb0c88d203182
47174|Sree Ram Debji Art|[in]||S6531|S6531|11f0c51655cbc778933ff752a93c77ee
20219|Marion Knott Studios|[us]||M6525|M6525|e0b34c9f1d46ee5cd3d823a4a685e980
62337|EastAsiaSoft|[hk]||E2321|E2321|7a841323cb9fcfd38b39979a1f375592
30818|Channel 2020|[gb]||C54|C5421|eefa3cd3941d2de68d2199799bda169d
54737|Sweet Home Video|[gr]||S3513|S3513|446f76a146c9b8a13bb05bf75b308924
22487|Perspective Films|[fr]||P6212|P6212|6764fb2fe7c6639c5f8f8a801368d09e
64482|Velocity Productions Ltd.|||V4231||4136154e1668158576fc95ce4fbb3f9a
81|TV Setouchi|[jp]||T1232|T1232|a3790d467165d58c25f00f6c1be553ac
3912|Comedy Central Africa|[za]||C5325|C5325|7bbf41408eaf2df73aa534d032b3f7ad
31083|Randfilms|[be]||R5314|R5314|28c6342ba98aa759b7276f614f6fc1ea
15542|The Enterainment Factory|[ie]||T5365|T5365|f8af7d14d5fae908b13b333802f0395e
16392|Latina Ars|[it]||L3562|L3562|c36f8baea7b7a0012ebbe36cda608886
64328|Apocalipse Vídeo|[br]||A1241|A1241|50336ce612f1e97c4147adcfda6c298d
45163|Ken Kennedy Productions|||K5253||7ffb6e43affc49b10e9beb9e8bc0ccc2
65596|Zison Enterprises Inc.|[us]||Z2536|Z2536|27c187cece29ccc2849a4c0df46b7969
18031|Dick Wadd Fetish|[us]||D2313|D2313|6bca80dc1d9813e39427976f934f43bf
63844|Thousand Faces Productions, A|[in]||T2531|T2531|2c0f55d914f4f54770ef1c211d9065f6
43485|Century Vision|[us]||C5361|C5361|8a87df099d3d217533b172029b311e86
27006|Dinafilme|[br]||D5145|D5145|da4e1c061d35cbf88b1610e076ddc4f9
8595|Minds Eye Entertainment|[ca]||M5325|M5325|0adc3925992f1334f47ac082cde7afd8
636|Universal Music Group|[us]||U5162|U5162|29bae73a6c4eb9de9b04ad09e531dc35
28949|Starlite Films|[us]||S3643|S3643|ca74b5b21c3dd359e05ff4e8dd82f331
96|Telefé International|[ar]||T4153|T4153|23c7ae38c2b264e90afc15c90a700719
47091|TimeGate Studios|[us]||T5232|T5232|dfd16f42e2d8cfc465fb5101ac7dd50e
28671|Cinemex Films S.A. de C.V.|[mx]||C5214|C5214|f0d8426818c5097a3652a1d9540b3417
38591|Mirror Films|||M6145||22b0873b0410fd823204ff1ee0aa0dab
63340|Greyart|[us]||G63|G632|ffa22d61cb8a6b08008d9c6a39afeee5
3230|TBS News Bird|[jp]||T1252|T1252|56355123543504d5240d820bbb79bece
1617|Dr. Mustachio Produtions|[us]||D6523|D6523|c5dc7acc68b05b4e84d69bb243e526cd
44962|Vitronic|[ch]||V3652|V3652|d5688008b03a0d2296d556c199d7bc72
5009|Nuevo Mundo Television|[ca]||N1534|N1534|4ce1f829b25029eca74a22ccc9e00f71
40359|Aleksandrija Film|[rs]||A4253|A4253|229d0e73b51aa0dbf8e6115392a417ab
3586|CBS DVD|[us]||C1231|C1231|1a421115fa59fd4213ed6d945d24941b
4550|Trans-International Films|[us]||T6525|T6525|4b63a08a347f1ddde64b9c0c6f742d9b
53102|Twisted Pixel Games|[us]||T2312|T2312|8224be2ee6d6de66db24697eff6b0e43
47370|Fondation de France|[fr]||F5353|F5353|9a106ee585ccd20d08b0798dfe0705a3
44721|Gold Circle Films|[us]||G4326|G4326|4cca151d444cc1b800a8a2164fbdf3bb
60516|Budsam Distributing Company|[us]||B3253|B3253|3575cd8f64a9e673bf3cddb0a79a88ff
51180|Artificial Illusions Film|[de]||A6312|A6312|330377febf0e3f5500ff8720f0548f47
58315|Compass Records|[us]||C5126|C5126|e773b7e49f91d914b83f7d99cd022c62
28588|Chronos-Film|||C6521||381de484f0976bf7dc69522d422a5be8
24782|Public Service|[se]||P1426|P1426|8859fe35b398199282348fd04ffd0fe8
64760|Films Chritiane Kieffer|[fr]||F4526|F4526|3d7dd1a6ba415d72754fa189b64b0a18
39874|MOME Animation|[hu]||M535|M535|b98e8bd8e6230884229182e8e8473340
11305|Exhibitors Mutual Distributing Company|[us]||E2136|E2136|b63dce54a2d78a891df4b57277d323d1
14157|Kingsley-International Pictures|[us]||K5245|K5245|2ec7ea22b6805ddd9d37a6f8f6cfaa2a
29563|École de cinéma - Genève|[ch]||C4325|C4325|b3509eb889071742f65a6c3f3cd8c295
60139|Mimetic Media|[us]||M5325|M5325|3c5d3b643196358f175b14b7f7cf656c
27698|Curious Film|[au]||C6214|C6214|8f195dfcbb8992e37d45d7ed9d862227
39754|Caesar Film|[de]||C2614|C2614|3ea730751c0dd8bdd21646cfc332ae3e
4776|PolyScope BV|[nl]||P421|P4215|81791fa2b27b875302720f8c942cc5f6
65736|Camp Cousellor Films|[us]||C5124|C5124|27925035800bc4caa28f0431228ee16c
66520|Plymouth Film Corp.|||P4531||d28a977f8109f6a790d3ea3cdd193290
5350|7TV|[ru]||T1|T16|7ebdba630019ff12fc89b7dd27b158de
48232|Pierre Braunberger|[fr]||P6165|P6165|3f2bfe88d4b4da638e69f74478da1754
41712|Film Gallery|||F4524||918a85390c8b40d72a781bd032460321
24616|Allround|[de]||A4653|A4653|c11875197a262644287f76167c9748d7
53634|Aura Pictures|[kr]||A6123|A6123|2761970ee10c192fc223b13701cf5457
53587|Grahalakshmi Productions|[in]||G6425|G6425|e6d8b57306b3bf77705122fa2c0d627c
25436|Fox Video Games Inc.|[us]||F2132|F2132|62b260fb8e5411fab9fd0ebe5e346f66
55385|South American Pictures|[us]||S3562|S3562|5dad52b44258c668a17c300efda09793
24788|Stein Film|[de]||S3514|S3514|0c42dd51d85d5d2c420421be1cff0d7e
13518|University of Oklahoma|[us]||U5162|U5162|126fd1b4284bafa99c56ef57716465c4
16644|Stichting Entertainmentretail Promotion|[nl]||S3235|S3235|7391a327101a46d5bdb7496494769858
63038|Filmimies|[fi]||F452|F4521|8c5451ac5685fb14cfe8bae0de4f589a
4827|TV3|[my]||T1|T15|34a97ae8a0478684db32928443bbabbd
55157|Green Fairy Pictures|[us]||G6516|G6516|20120f18f153da9c08af67df0b6b1a7e
4447|AOL Online Video|[us]||A4545|A4545|b3c1d0cae3cf6e8e0e7deee66d9b958f
19421|Goldsmiths' College|[gb]||G4325|G4325|e0072a6b900bd3dea03359ce3c18a70b
45414|Blockhouse TV|[gb]||B4231|B4231|4aa3de4ca98cc3d44e4e754ef743eb06
66629|Rochelle Films|||R2414||6bca5af7a3eb1782b8a5ded843d8c2b3
61007|Bognor Film Productions|[gb]||B2561|B2561|fc1a9e0c63b44ca466d3f426c0b26a57
15436|Paramount Vantage|[us]||P6531|P6531|bade826792ec6af57c9488d83a58e920
11957|Prodimag|[es]||P6352|P6352|4881ac395ddab7918ef2a5c8624cc2f6
47455|Charada|||C63||79dc78eb8d8aeaab799fd4c1b435f53a
22223|Gremlin Industries|[us]||G6545|G6545|45ef79d7f9fa1893a976d92aa96e1630
39419|Bunker Lab|[it]||B5264|B5264|bd010173ad1ef606e1dce200579e7b0d
41850|Never Land Films S.L.|[es]||N1645|N1645|2d5b4c587ba357f29590f290a12740c5
53429|Ill Willed Productions|[us]||I4316|I4316|a6b2a8015c9f698305a946ae245d6c44
68045|Guangdong Shining Star Culture Communication|[cn]||G5235|G5235|783622a9a83e059d48fbae2bf1f9be46
34959|Big Pictures Film Production New Zealand|[nz]||B2123|B2123|63077aa6704ab95fedfb22f9bea4fd02
10821|TEN Sports|[in]||T5216|T5216|d55ea1cebf59917c06d1c47233a06fb5
